Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV31,2002-01-16,X-band,0823+033,ND,0.72,2.16,0.71,
RDV66,2007-12-05,X-band,0716+714,D,0.71,2.61,0.83,1634.51
BL115C,2004-02-15,X-band,0749+540,D,0.71,2.01,0.72,
RDV88,2011-08-02,X-band,0805+410,D,0.71,2.61,0.85,1464.31
RV104,2014-04-01,X-band,0716+714,D,0.7,2.63,0.73,1207.54
RV108,2014-12-03,X-band,0722+145,ND,0.7,2.73,0.75,1253.97
RDV62,2007-03-27,X-band,0749+540,D,0.7,3.14,0.65,1252.24
RDV74,2009-04-21,X-band,0749+540,D,0.7,2.89,0.68,1627.61
B9725B,1997-01-11,X-band,0827+243,ND,0.7,2.45,0.84,
BR9525,1995-04-12,X-band,0859+470,ND,0.7,3.06,0.54,
B9725A,1997-01-10,X-band,0805+410,D,0.69,2.27,0.75,
RV120,2016-11-30,X-band,0812+367,ND,0.69,2.75,0.54,1177.23
RDV75,2009-05-13,X-band,0847-120,D,0.69,2.34,0.79,
BL115C,2004-02-15,X-band,0804+499,D,0.68,2.11,0.76,
B9725B,1997-01-11,X-band,0812+367,ND,0.68,2.77,0.53,
RDV51,2005-06-29,X-band,0805+410,D,0.67,2.53,0.8,2035.09
RDV73,2009-01-21,X-band,0808+019,D,0.67,0.4,0.82,
RDV45,2004-07-14,X-band,0850+581,ND,0.66,3.4,0.49,
RDV12,1998-12-21,X-band,0804+499,D,0.65,1.56,0.74,
BL115C,2004-02-15,X-band,0805+410,D,0.65,1.16,0.82,
RDV96,2012-12-05,X-band,0805+410,D,0.65,2.42,0.84,1809.98
RDV69,2008-05-14,X-band,0805+410,D,0.65,2.09,0.89,
BL115C,2004-02-15,X-band,0820+560,ND,0.65,3.49,0.37,
RDV3,1997-05-19,X-band,0804+499,D,0.64,1.64,0.79,
RDV72,2008-12-17,X-band,0808+019,D,0.64,1.98,0.96,5021.64
B9725A,1997-01-10,X-band,0735+178,ND,0.63,3.69,0.37,
BL122B,2005-08-26,X-band,0745+241,ND,0.63,2.64,0.57,
RDV57,2006-07-11,X-band,0749+540,D,0.63,2.85,0.74,
RDV20,2000-03-13,X-band,0804+499,D,0.62,2.38,0.71,1324.98
RDV70,2008-07-09,X-band,0812+367,ND,0.62,3.15,0.54,1339.84
RV120,2016-11-30,X-band,0746+483,ND,0.6,3.42,0.38,1937.66
