Experience,Date,Band,Source,ICRF3 Cat.,Flux (Jy),Structure index,Compactness,Map Quality
RDV73,2009-01-21 00:00:00.000,X-band,0851+202,ND,1.74,2.04,0.84,
RV110,2015-03-25 00:00:00.000,X-band,0834-201,D,1.73,2.5,0.6,2704.09
RDV10,1998-08-10 00:00:00.000,X-band,0851+202,ND,1.73,1.92,0.63,
RDV7,1998-02-09 00:00:00.000,X-band,0804+499,D,1.72,0.91,0.88,
RDV9,1998-06-24 00:00:00.000,X-band,0804+499,D,1.68,0.69,0.85,
RDV86,2011-04-05 00:00:00.000,X-band,0716+714,D,1.65,1.46,0.87,5109.19
RV110,2015-03-25 00:00:00.000,X-band,0716+714,D,1.64,2.04,0.8,3016.63
RDV20,2000-03-13 00:00:00.000,X-band,0851+202,ND,1.63,2.98,0.42,1720.72
RDV61,2007-01-24 00:00:00.000,X-band,0851+202,ND,1.63,2.06,0.67,
BL115C,2004-02-15 00:00:00.000,X-band,0754+100,ND,1.59,2.9,0.57,
RDV64,2007-07-10 00:00:00.000,X-band,0851+202,ND,1.59,2.82,0.61,2912.01
RDV63,2007-06-26 00:00:00.000,X-band,0851+202,ND,1.59,2.81,0.55,
RDV88,2011-08-02 00:00:00.000,X-band,0743-006,D,1.57,3.56,0.36,1358.49
RV106,2014-09-03 00:00:00.000,X-band,0823+033,ND,1.56,1.35,0.95,7742.3
RV118,2016-07-06 00:00:00.000,X-band,0834-201,D,1.56,2.6,0.63,3400.82
RDV7,1998-02-09 00:00:00.000,X-band,0851+202,ND,1.56,2.42,0.73,
RDV64,2007-07-10 00:00:00.000,X-band,0823+033,ND,1.55,2.36,0.75,3296.23
RDV72,2008-12-17 00:00:00.000,X-band,0851+202,ND,1.52,2.31,0.79,1945.88
RDV63,2007-06-26 00:00:00.000,X-band,0823+033,ND,1.51,2.43,0.79,
RDV12,1998-12-21 00:00:00.000,X-band,0823+033,ND,1.51,2.64,0.72,
RDV12,1998-12-21 00:00:00.000,X-band,0851+202,ND,1.51,2.54,0.55,
RV104,2014-04-01 00:00:00.000,X-band,0743-006,D,1.5,3.3,0.42,1563.89
RDV6,1997-12-17 00:00:00.000,X-band,0804+499,D,1.49,1.08,0.87,
RDV6,1997-12-17 00:00:00.000,X-band,0851+202,ND,1.49,2.34,0.7,
BR9525,1995-04-12 00:00:00.000,X-band,0851+202,ND,1.39,3.1,0.5,
RV120,2016-11-30 00:00:00.000,X-band,0834-201,D,1.38,2.67,0.51,2371.35
RDV65,2007-08-01 00:00:00.000,X-band,0823+033,ND,1.37,2.7,0.82,
